iter	Passed	Remaining
894	7148	838
895	7156	830
896	7164	822
897	7171	814
898	7179	806
899	7188	798
900	7196	790
901	7205	782
902	7212	774
903	7221	766
904	7228	758
905	7236	750
906	7244	742
907	7252	734
908	7260	726
909	7268	718
910	7275	710
911	7283	702
912	7291	694
913	7300	686
914	7307	678
915	7315	670
916	7323	662
917	7331	654
918	7340	646
919	7348	638
920	7356	631
921	7364	623
922	7372	615
923	7380	607
924	7388	599
925	7395	591
926	7403	583
927	7412	575
928	7420	567
929	7428	559
930	7435	551
931	7444	543
932	7452	535
933	7459	527
934	7467	519
935	7475	511
936	7484	503
937	7492	495
938	7500	487
939	7508	479
940	7517	471
941	7524	463
942	7532	455
943	7539	447
944	7547	439
945	7555	431
946	7563	423
947	7570	415
948	7579	407
949	7587	399
950	7594	391
951	7602	383
952	7610	375
953	7618	367
954	7626	359
955	7634	351
956	7642	343
957	7649	335
958	7658	327
959	7665	319
960	7674	311
961	7681	303
962	7690	295
963	7699	287
964	7706	279
965	7715	271
966	7723	263
967	7731	255
968	7739	247
969	7747	239
970	7755	231
971	7763	223
972	7771	215
973	7779	207
974	7786	199
975	7794	191
976	7802	183
977	7810	175
978	7818	167
979	7825	159
980	7833	151
981	7841	143
982	7849	135
983	7857	127
984	7865	119
985	7873	111
986	7882	103
987	7890	95
988	7898	87
989	7906	79
990	7914	71
991	7922	63
992	7930	55
993	7938	47
994	7947	39
995	7955	31
996	7963	23
997	7972	15
998	7980	7
999	7988	0
